"TIME","GEO","AGE","SEX","Value","Flag and Footnotes"
"1984","Albanie","Total","Total","2.872.681",""
"1985","Albanie","Total","Total","2.936.177",""
"1986","Albanie","Total","Total","2.993.347",""
"1987","Albanie","Total","Total","3.051.923",""
"1988","Albanie","Total","Total","3.115.286",""
"1989","Albanie","Total","Total","3.169.386",""
"1990","Albanie","Total","Total","3.286.500",""
"1991","Albanie","Total","Total","3.259.814",""
"1992","Albanie","Total","Total","3.190.103",""
"1993","Albanie","Total","Total","3.167.478",""
"1994","Albanie","Total","Total","3.220.310",""
"1995","Albanie","Total","Total","3.248.836",""
"1996","Albanie","Total","Total","3.283.000",""
"1997","Albanie","Total","Total","3.324.317",""
"1998","Albanie","Total","Total","3.354.341",""
"1999","Albanie","Total","Total","3.373.445",""
"2000","Albanie","Total","Total","3.058.497",""
"2001","Albanie","Total","Total","3.063.318",""
"2002","Albanie","Total","Total","3.084.148",""
"2003","Albanie","Total","Total","3.102.781",""
"2004","Albanie","Total","Total","3.119.548",""
"2005","Albanie","Total","Total","3.134.975",""
"2006","Albanie","Total","Total","3.149.143",""
"2007","Albanie","Total","Total","3.152.625",""
"2008","Albanie","Total","Total","3.170.050",""
"2009","Albanie","Total","Total","3.184.701",""
"2010","Albanie","Total","Total",":",""
"2011","Albanie","Total","Total","2.831.741",""
"2012","Albanie","Total","Total",":",""
"2013","Albanie","Total","Total",":",""
"1960","Andorre","Total","Total",":",""
"1961","Andorre","Total","Total",":",""
"1962","Andorre","Total","Total",":",""
"1963","Andorre","Total","Total",":",""
"1964","Andorre","Total","Total",":",""
"1965","Andorre","Total","Total",":",""
"1966","Andorre","Total","Total",":",""
"1967","Andorre","Total","Total",":",""
"1968","Andorre","Total","Total",":",""
"1969","Andorre","Total","Total",":",""
"1970","Andorre","Total","Total",":",""
"1971","Andorre","Total","Total",":",""
"1972","Andorre","Total","Total",":",""
"1973","Andorre","Total","Total",":",""
"1974","Andorre","Total","Total",":",""
"1975","Andorre","Total","Total",":",""
"1976","Andorre","Total","Total",":",""
"1977","Andorre","Total","Total",":",""
"1978","Andorre","Total","Total",":",""
"1979","Andorre","Total","Total",":",""
"1980","Andorre","Total","Total",":",""
"1981","Andorre","Total","Total",":",""
"1982","Andorre","Total","Total",":",""
"1983","Andorre","Total","Total",":",""
"1984","Andorre","Total","Total",":",""
"1985","Andorre","Total","Total",":",""
"1986","Andorre","Total","Total","44.593",""
"1987","Andorre","Total","Total","46.976",""
"1988","Andorre","Total","Total","48.451",""
"1989","Andorre","Total","Total","50.528",""
"1990","Andorre","Total","Total","50.887",""
"1991","Andorre","Total","Total","54.507",""
"1992","Andorre","Total","Total","59.048",""
"1993","Andorre","Total","Total","61.599",""
"1994","Andorre","Total","Total","65.226",""
"1995","Andorre","Total","Total","64.311",""
"1996","Andorre","Total","Total","63.859",""
"1997","Andorre","Total","Total","64.479",""
"1998","Andorre","Total","Total","65.306",""
"1999","Andorre","Total","Total","65.877",""
"2000","Andorre","Total","Total","65.971",""
"2001","Andorre","Total","Total","65.844",""
"2002","Andorre","Total","Total","66.334",""
"2003","Andorre","Total","Total","67.159",""
"2004","Andorre","Total","Total","72.320",""
"2005","Andorre","Total","Total","76.875",""
"2006","Andorre","Total","Total","78.549",""
"2007","Andorre","Total","Total","81.222",""
"2008","Andorre","Total","Total","83.137",""
"2009","Andorre","Total","Total","84.484",""
"2010","Andorre","Total","Total","84.082",""
"2011","Andorre","Total","Total","78.115",""
"2012","Andorre","Total","Total","78.115",""
"2013","Andorre","Total","Total","76.246",""
"1960","Bélarus","Total","Total",":",""
"1961","Bélarus","Total","Total",":",""
"1962","Bélarus","Total","Total",":",""
"1963","Bélarus","Total","Total",":",""
"1964","Bélarus","Total","Total",":",""
"1965","Bélarus","Total","Total",":",""
"1966","Bélarus","Total","Total",":",""
"1967","Bélarus","Total","Total",":",""
"1968","Bélarus","Total","Total",":",""
"1969","Bélarus","Total","Total",":",""
"1970","Bélarus","Total","Total",":",""
"1971","Bélarus","Total","Total",":",""
"1972","Bélarus","Total","Total",":",""
"1973","Bélarus","Total","Total",":",""
"1974","Bélarus","Total","Total",":",""
"1975","Bélarus","Total","Total",":",""
"1976","Bélarus","Total","Total",":",""
"1977","Bélarus","Total","Total",":",""
"1978","Bélarus","Total","Total",":",""
"1979","Bélarus","Total","Total",":",""
"1980","Bélarus","Total","Total",":",""
"1981","Bélarus","Total","Total",":",""
"1982","Bélarus","Total","Total",":",""
"1983","Bélarus","Total","Total",":",""
"1984","Bélarus","Total","Total",":",""
"1985","Bélarus","Total","Total",":",""
"1986","Bélarus","Total","Total",":",""
"1987","Bélarus","Total","Total",":",""
"1988","Bélarus","Total","Total",":",""
"1989","Bélarus","Total","Total",":",""
"1990","Bélarus","Total","Total",":",""
"1991","Bélarus","Total","Total",":",""
"1992","Bélarus","Total","Total",":",""
"1993","Bélarus","Total","Total",":",""
"1994","Bélarus","Total","Total",":",""
"1995","Bélarus","Total","Total",":",""
"1996","Bélarus","Total","Total",":",""
"1997","Bélarus","Total","Total",":",""
"1998","Bélarus","Total","Total",":",""
"1999","Bélarus","Total","Total",":",""
"2000","Bélarus","Total","Total","10.019.480",""
"2001","Bélarus","Total","Total","9.990.435",""
"2002","Bélarus","Total","Total","9.950.941",""
"2003","Bélarus","Total","Total","9.898.590",""
"2004","Bélarus","Total","Total","9.849.062",""
"2005","Bélarus","Total","Total","9.800.073",""
"2006","Bélarus","Total","Total","9.750.540",""
"2007","Bélarus","Total","Total","9.714.461",""
"2008","Bélarus","Total","Total","9.689.770",""
"2009","Bélarus","Total","Total","9.671.912",""
"2010","Bélarus","Total","Total","9.480.178",""
"2011","Bélarus","Total","Total","9.481.193",""
"2012","Bélarus","Total","Total","9.465.150",""
"2013","Bélarus","Total","Total","9.463.840",""
"1960","Bosnie-et-Herzégovine","Total","Total","3.212.349",""
"1961","Bosnie-et-Herzégovine","Total","Total","3.265.629",""
"1962","Bosnie-et-Herzégovine","Total","Total","3.329.909",""
"1963","Bosnie-et-Herzégovine","Total","Total","3.406.130",""
"1964","Bosnie-et-Herzégovine","Total","Total","3.480.448",""
"1965","Bosnie-et-Herzégovine","Total","Total","3.553.053",""
"1966","Bosnie-et-Herzégovine","Total","Total","3.627.922",""
"1967","Bosnie-et-Herzégovine","Total","Total","3.700.916",""
"1968","Bosnie-et-Herzégovine","Total","Total","3.767.185",""
"1969","Bosnie-et-Herzégovine","Total","Total","3.734.546",""
"1970","Bosnie-et-Herzégovine","Total","Total","3.685.694",""
"1971","Bosnie-et-Herzégovine","Total","Total","3.731.216",""
"1972","Bosnie-et-Herzégovine","Total","Total","3.789.131",""
"1973","Bosnie-et-Herzégovine","Total","Total","3.845.048",""
"1974","Bosnie-et-Herzégovine","Total","Total","3.898.064",""
"1975","Bosnie-et-Herzégovine","Total","Total","3.950.628",""
"1976","Bosnie-et-Herzégovine","Total","Total","4.004.830",""
"1977","Bosnie-et-Herzégovine","Total","Total","4.059.247",""
"1978","Bosnie-et-Herzégovine","Total","Total","4.110.203",""
"1979","Bosnie-et-Herzégovine","Total","Total","4.157.746",""
"1980","Bosnie-et-Herzégovine","Total","Total","4.136.941",""
"1981","Bosnie-et-Herzégovine","Total","Total","4.114.030",""
"1982","Bosnie-et-Herzégovine","Total","Total","4.158.361",""
"1983","Bosnie-et-Herzégovine","Total","Total","4.203.208",""
"1984","Bosnie-et-Herzégovine","Total","Total","4.248.746",""
"1985","Bosnie-et-Herzégovine","Total","Total","4.293.863",""
"1986","Bosnie-et-Herzégovine","Total","Total","4.337.350",""
"1987","Bosnie-et-Herzégovine","Total","Total","4.379.545",""
"1988","Bosnie-et-Herzégovine","Total","Total","4.421.373",""
"1989","Bosnie-et-Herzégovine","Total","Total","4.461.498",""
"1990","Bosnie-et-Herzégovine","Total","Total","4.499.203",""
"1991","Bosnie-et-Herzégovine","Total","Total","4.517.921",""
"1992","Bosnie-et-Herzégovine","Total","Total",":",""
"1993","Bosnie-et-Herzégovine","Total","Total",":",""
"1994","Bosnie-et-Herzégovine","Total","Total",":",""
"1995","Bosnie-et-Herzégovine","Total","Total",":",""
"1996","Bosnie-et-Herzégovine","Total","Total",":",""
"1997","Bosnie-et-Herzégovine","Total","Total","3.727.439",""
"1998","Bosnie-et-Herzégovine","Total","Total","3.549.736",""
"1999","Bosnie-et-Herzégovine","Total","Total",":",""
"2000","Bosnie-et-Herzégovine","Total","Total","3.753.085","e"
"2001","Bosnie-et-Herzégovine","Total","Total","3.789.717","e"
"2002","Bosnie-et-Herzégovine","Total","Total","3.813.167","e"
"2003","Bosnie-et-Herzégovine","Total","Total","3.830.349","e"
"2004","Bosnie-et-Herzégovine","Total","Total","3.837.414","e"
"2005","Bosnie-et-Herzégovine","Total","Total","3.842.532","e"
"2006","Bosnie-et-Herzégovine","Total","Total","3.842.650",""
"2007","Bosnie-et-Herzégovine","Total","Total","3.844.017",""
"2008","Bosnie-et-Herzégovine","Total","Total","3.843.846",""
"2009","Bosnie-et-Herzégovine","Total","Total","3.843.998",""
"2010","Bosnie-et-Herzégovine","Total","Total","3.844.046",""
"2011","Bosnie-et-Herzégovine","Total","Total","3.843.183",""
"2012","Bosnie-et-Herzégovine","Total","Total","3.839.265",""
"2013","Bosnie-et-Herzégovine","Total","Total",":",""
"1960","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1961","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1962","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1963","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1964","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1965","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1966","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1967","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1968","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1969","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1970","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1971","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1972","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1973","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1974","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1975","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1976","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1977","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1978","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1979","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1980","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1981","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1982","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1983","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1984","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1985","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1986","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1987","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1988","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1989","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1990","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1991","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1992","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1993","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1994","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1995","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1996","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1997","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1998","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1999","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"2000","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"2001","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"2002","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"2003","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total","1.985.000",""
"2004","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total","2.016.000",""
"2005","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total","2.041.000",""
"2006","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total","2.100.000",""
"2007","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total","2.126.708",""
"2008","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total","2.153.139",""
"2009","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total","2.180.686",""
"2010","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total","2.208.107",""
"2011","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total","1.794.180","b"
"2012","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":","p"
"2013","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total",":",""
"1960","Moldavie","Total","Total",":",""
"1961","Moldavie","Total","Total",":",""
"1962","Moldavie","Total","Total",":",""
"1963","Moldavie","Total","Total",":",""
"1964","Moldavie","Total","Total",":",""
"1965","Moldavie","Total","Total",":",""
"1966","Moldavie","Total","Total",":",""
"1967","Moldavie","Total","Total",":",""
"1968","Moldavie","Total","Total",":",""
"1969","Moldavie","Total","Total",":",""
"1970","Moldavie","Total","Total",":",""
"1971","Moldavie","Total","Total",":",""
"1972","Moldavie","Total","Total",":",""
"1973","Moldavie","Total","Total",":",""
"1974","Moldavie","Total","Total",":",""
"1975","Moldavie","Total","Total",":",""
"1976","Moldavie","Total","Total",":",""
"1977","Moldavie","Total","Total",":",""
"1978","Moldavie","Total","Total",":",""
"1979","Moldavie","Total","Total",":",""
"1980","Moldavie","Total","Total",":",""
"1981","Moldavie","Total","Total",":",""
"1982","Moldavie","Total","Total",":",""
"1983","Moldavie","Total","Total",":",""
"1984","Moldavie","Total","Total",":",""
"1985","Moldavie","Total","Total",":",""
"1986","Moldavie","Total","Total",":",""
"1987","Moldavie","Total","Total",":",""
"1988","Moldavie","Total","Total",":",""
"1989","Moldavie","Total","Total",":",""
"1990","Moldavie","Total","Total",":",""
"1991","Moldavie","Total","Total",":",""
"1992","Moldavie","Total","Total",":",""
"1993","Moldavie","Total","Total",":",""
"1994","Moldavie","Total","Total",":",""
"1995","Moldavie","Total","Total",":",""
"1996","Moldavie","Total","Total",":",""
"1997","Moldavie","Total","Total",":",""
"1998","Moldavie","Total","Total",":",""
"1999","Moldavie","Total","Total",":",""
"2000","Moldavie","Total","Total","3.644.070",""
"2001","Moldavie","Total","Total","3.635.112",""
"2002","Moldavie","Total","Total","3.627.812",""
"2003","Moldavie","Total","Total","3.618.312",""
"2004","Moldavie","Total","Total","3.607.435",""
"2005","Moldavie","Total","Total","3.600.436",""
"2006","Moldavie","Total","Total","3.589.936",""
"2007","Moldavie","Total","Total","3.581.110",""
"2008","Moldavie","Total","Total","3.572.703",""
"2009","Moldavie","Total","Total","3.567.512",""
"2010","Moldavie","Total","Total","3.563.695",""
"2011","Moldavie","Total","Total","3.560.430",""
"2012","Moldavie","Total","Total","3.559.541",""
"2013","Moldavie","Total","Total","3.559.497",""
"1960","Monaco","Total","Total",":",""
"1961","Monaco","Total","Total",":",""
"1962","Monaco","Total","Total",":",""
"1963","Monaco","Total","Total",":",""
"1964","Monaco","Total","Total",":",""
"1965","Monaco","Total","Total",":",""
"1966","Monaco","Total","Total",":",""
"1967","Monaco","Total","Total",":",""
"1968","Monaco","Total","Total",":",""
"1969","Monaco","Total","Total",":",""
"1970","Monaco","Total","Total",":",""
"1971","Monaco","Total","Total",":",""
"1972","Monaco","Total","Total",":",""
"1973","Monaco","Total","Total",":",""
"1974","Monaco","Total","Total",":",""
"1975","Monaco","Total","Total",":",""
"1976","Monaco","Total","Total",":",""
"1977","Monaco","Total","Total",":",""
"1978","Monaco","Total","Total",":",""
"1979","Monaco","Total","Total",":",""
"1980","Monaco","Total","Total",":",""
"1981","Monaco","Total","Total",":",""
"1982","Monaco","Total","Total",":",""
"1983","Monaco","Total","Total",":",""
"1984","Monaco","Total","Total",":",""
"1985","Monaco","Total","Total",":",""
"1986","Monaco","Total","Total",":",""
"1987","Monaco","Total","Total",":",""
"1988","Monaco","Total","Total",":",""
"1989","Monaco","Total","Total",":",""
"1990","Monaco","Total","Total",":",""
"1991","Monaco","Total","Total",":",""
"1992","Monaco","Total","Total",":",""
"1993","Monaco","Total","Total",":",""
"1994","Monaco","Total","Total",":",""
"1995","Monaco","Total","Total",":",""
"1996","Monaco","Total","Total",":",""
"1997","Monaco","Total","Total",":",""
"1998","Monaco","Total","Total",":",""
"1999","Monaco","Total","Total",":",""
"2000","Monaco","Total","Total",":",""
"2001","Monaco","Total","Total",":",""
"2002","Monaco","Total","Total",":",""
"2003","Monaco","Total","Total",":",""
"2004","Monaco","Total","Total","32.828",""
"2005","Monaco","Total","Total","33.085",""
"2006","Monaco","Total","Total",":",""
"2007","Monaco","Total","Total",":",""
"2008","Monaco","Total","Total",":",""
"2009","Monaco","Total","Total",":",""
"2010","Monaco","Total","Total",":",""
"2011","Monaco","Total","Total",":",""
"2012","Monaco","Total","Total",":",""
"2013","Monaco","Total","Total",":",""
"1960","Russie","Total","Total",":",""
"1961","Russie","Total","Total",":",""
"1962","Russie","Total","Total",":",""
"1963","Russie","Total","Total",":",""
"1964","Russie","Total","Total",":",""
"1965","Russie","Total","Total",":",""
"1966","Russie","Total","Total",":",""
"1967","Russie","Total","Total",":",""
"1968","Russie","Total","Total",":",""
"1969","Russie","Total","Total",":",""
"1970","Russie","Total","Total",":",""
"1971","Russie","Total","Total",":",""
"1972","Russie","Total","Total",":",""
"1973","Russie","Total","Total",":",""
"1974","Russie","Total","Total",":",""
"1975","Russie","Total","Total",":",""
"1976","Russie","Total","Total",":",""
"1977","Russie","Total","Total",":",""
"1978","Russie","Total","Total",":",""
"1979","Russie","Total","Total",":",""
"1980","Russie","Total","Total",":",""
"1981","Russie","Total","Total",":",""
"1982","Russie","Total","Total",":",""
"1983","Russie","Total","Total",":",""
"1984","Russie","Total","Total",":",""
"1985","Russie","Total","Total",":",""
"1986","Russie","Total","Total",":",""
"1987","Russie","Total","Total",":",""
"1988","Russie","Total","Total",":",""
"1989","Russie","Total","Total",":",""
"1990","Russie","Total","Total",":",""
"1991","Russie","Total","Total",":",""
"1992","Russie","Total","Total",":",""
"1993","Russie","Total","Total",":",""
"1994","Russie","Total","Total",":",""
"1995","Russie","Total","Total",":",""
"1996","Russie","Total","Total",":",""
"1997","Russie","Total","Total",":",""
"1998","Russie","Total","Total",":",""
"1999","Russie","Total","Total",":",""
"2000","Russie","Total","Total","146.890.128",""
"2001","Russie","Total","Total","146.303.611",""
"2002","Russie","Total","Total","145.649.334",""
"2003","Russie","Total","Total","145.166.731",""
"2004","Russie","Total","Total","144.168.205",""
"2005","Russie","Total","Total","143.474.219",""
"2006","Russie","Total","Total","142.753.551",""
"2007","Russie","Total","Total","142.220.968",""
"2008","Russie","Total","Total","142.008.838",""
"2009","Russie","Total","Total","141.903.979",""
"2010","Russie","Total","Total","141.914.509",""
"2011","Russie","Total","Total","142.856.536",""
"2012","Russie","Total","Total","143.056.383",""
"2013","Russie","Total","Total",":",""
"1960","Saint-Marin","Total","Total",":",""
"1961","Saint-Marin","Total","Total",":",""
"1962","Saint-Marin","Total","Total",":",""
"1963","Saint-Marin","Total","Total",":",""
"1964","Saint-Marin","Total","Total",":",""
"1965","Saint-Marin","Total","Total",":",""
"1966","Saint-Marin","Total","Total",":",""
"1967","Saint-Marin","Total","Total",":",""
"1968","Saint-Marin","Total","Total",":",""
"1969","Saint-Marin","Total","Total",":",""
"1970","Saint-Marin","Total","Total",":",""
"1971","Saint-Marin","Total","Total",":",""
"1972","Saint-Marin","Total","Total",":",""
"1973","Saint-Marin","Total","Total",":",""
"1974","Saint-Marin","Total","Total",":",""
"1975","Saint-Marin","Total","Total",":",""
"1976","Saint-Marin","Total","Total",":",""
"1977","Saint-Marin","Total","Total",":",""
"1978","Saint-Marin","Total","Total",":",""
"1979","Saint-Marin","Total","Total",":",""
"1980","Saint-Marin","Total","Total",":",""
"1981","Saint-Marin","Total","Total",":",""
"1982","Saint-Marin","Total","Total",":",""
"1983","Saint-Marin","Total","Total",":",""
"1984","Saint-Marin","Total","Total",":",""
"1985","Saint-Marin","Total","Total",":",""
"1986","Saint-Marin","Total","Total",":",""
"1987","Saint-Marin","Total","Total",":",""
"1988","Saint-Marin","Total","Total",":",""
"1989","Saint-Marin","Total","Total",":",""
"1990","Saint-Marin","Total","Total",":",""
"1991","Saint-Marin","Total","Total",":",""
"1992","Saint-Marin","Total","Total",":",""
"1993","Saint-Marin","Total","Total",":",""
"1994","Saint-Marin","Total","Total",":",""
"1995","Saint-Marin","Total","Total",":",""
"1996","Saint-Marin","Total","Total",":",""
"1997","Saint-Marin","Total","Total",":",""
"1998","Saint-Marin","Total","Total",":",""
"1999","Saint-Marin","Total","Total",":",""
"2000","Saint-Marin","Total","Total",":",""
"2001","Saint-Marin","Total","Total",":",""
"2002","Saint-Marin","Total","Total",":",""
"2003","Saint-Marin","Total","Total",":",""
"2004","Saint-Marin","Total","Total","29.241",""
"2005","Saint-Marin","Total","Total","29.673",""
"2006","Saint-Marin","Total","Total","29.999",""
"2007","Saint-Marin","Total","Total","30.368",""
"2008","Saint-Marin","Total","Total","32.054",""
"2009","Saint-Marin","Total","Total","31.269",""
"2010","Saint-Marin","Total","Total",":",""
"2011","Saint-Marin","Total","Total","31.863",""
"2012","Saint-Marin","Total","Total","33.376",""
"2013","Saint-Marin","Total","Total","33.562",""
"1960","Ukraine","Total","Total",":",""
"1961","Ukraine","Total","Total",":",""
"1962","Ukraine","Total","Total",":",""
"1963","Ukraine","Total","Total",":",""
"1964","Ukraine","Total","Total",":",""
"1965","Ukraine","Total","Total",":",""
"1966","Ukraine","Total","Total",":",""
"1967","Ukraine","Total","Total",":",""
"1968","Ukraine","Total","Total",":",""
"1969","Ukraine","Total","Total",":",""
"1970","Ukraine","Total","Total",":",""
"1971","Ukraine","Total","Total",":",""
"1972","Ukraine","Total","Total",":",""
"1973","Ukraine","Total","Total",":",""
"1974","Ukraine","Total","Total",":",""
"1975","Ukraine","Total","Total",":",""
"1976","Ukraine","Total","Total",":",""
"1977","Ukraine","Total","Total",":",""
"1978","Ukraine","Total","Total",":",""
"1979","Ukraine","Total","Total",":",""
"1980","Ukraine","Total","Total",":",""
"1981","Ukraine","Total","Total",":",""
"1982","Ukraine","Total","Total",":",""
"1983","Ukraine","Total","Total",":",""
"1984","Ukraine","Total","Total",":",""
"1985","Ukraine","Total","Total",":",""
"1986","Ukraine","Total","Total",":",""
"1987","Ukraine","Total","Total",":",""
"1988","Ukraine","Total","Total",":",""
"1989","Ukraine","Total","Total",":",""
"1990","Ukraine","Total","Total",":",""
"1991","Ukraine","Total","Total",":",""
"1992","Ukraine","Total","Total",":",""
"1993","Ukraine","Total","Total",":",""
"1994","Ukraine","Total","Total",":",""
"1995","Ukraine","Total","Total",":",""
"1996","Ukraine","Total","Total",":",""
"1997","Ukraine","Total","Total",":",""
"1998","Ukraine","Total","Total",":",""
"1999","Ukraine","Total","Total",":",""
"2000","Ukraine","Total","Total","49.114.950",""
"2001","Ukraine","Total","Total","48.663.609",""
"2002","Ukraine","Total","Total","48.240.902",""
"2003","Ukraine","Total","Total","47.823.108",""
"2004","Ukraine","Total","Total","47.442.079",""
"2005","Ukraine","Total","Total","47.100.462",""
"2006","Ukraine","Total","Total","46.749.170",""
"2007","Ukraine","Total","Total","46.465.691",""
"2008","Ukraine","Total","Total","46.192.309",""
"2009","Ukraine","Total","Total","45.963.359",""
"2010","Ukraine","Total","Total","45.782.592",""
"2011","Ukraine","Total","Total","45.598.179",""
"2012","Ukraine","Total","Total","45.453.282",""
"2013","Ukraine","Total","Total","45.372.692",""
"1960","Arménie","Total","Total",":",""
"1961","Arménie","Total","Total",":",""
"1962","Arménie","Total","Total",":",""
"1963","Arménie","Total","Total",":",""
"1964","Arménie","Total","Total",":",""
"1965","Arménie","Total","Total",":",""
"1966","Arménie","Total","Total",":",""
"1967","Arménie","Total","Total",":",""
"1968","Arménie","Total","Total",":",""
"1969","Arménie","Total","Total",":",""
"1970","Arménie","Total","Total",":",""
"1971","Arménie","Total","Total",":",""
"1972","Arménie","Total","Total",":",""
"1973","Arménie","Total","Total",":",""
"1974","Arménie","Total","Total",":",""
"1975","Arménie","Total","Total",":",""
"1976","Arménie","Total","Total",":",""
"1977","Arménie","Total","Total",":",""
"1978","Arménie","Total","Total",":",""
"1979","Arménie","Total","Total",":",""
"1980","Arménie","Total","Total",":",""
"1981","Arménie","Total","Total",":",""
"1982","Arménie","Total","Total",":",""
"1983","Arménie","Total","Total",":",""
"1984","Arménie","Total","Total",":",""
"1985","Arménie","Total","Total",":",""
"1986","Arménie","Total","Total",":",""
"1987","Arménie","Total","Total",":",""
"1988","Arménie","Total","Total",":",""
"1989","Arménie","Total","Total",":",""
"1990","Arménie","Total","Total",":",""
"1991","Arménie","Total","Total",":",""
"1992","Arménie","Total","Total",":",""
"1993","Arménie","Total","Total",":",""
"1994","Arménie","Total","Total",":",""
"1995","Arménie","Total","Total",":",""
"1996","Arménie","Total","Total",":",""
"1997","Arménie","Total","Total",":",""
"1998","Arménie","Total","Total",":",""
"1999","Arménie","Total","Total",":",""
"2000","Arménie","Total","Total","3.226.900",""
"2001","Arménie","Total","Total","3.215.300",""
"2002","Arménie","Total","Total","3.212.900",""
"2003","Arménie","Total","Total","3.210.300",""
"2004","Arménie","Total","Total","3.212.200",""
"2005","Arménie","Total","Total","3.215.800",""
"2006","Arménie","Total","Total","3.219.234",""
"2007","Arménie","Total","Total","3.222.953",""
"2008","Arménie","Total","Total","3.230.086",""
